Word,Count
Thank,7
you,11
very,13
much.,1
Mr.,2
"Speaker,",1
Vice,1
"President,",3
Members,2
of,149
"Congress,",1
the,219
First,1
Lady,1
United,12
"States,",2
and,187
citizens,8
America:,1
"Tonight,",2
as,21
we,67
mark,1
conclusion,1
our,108
celebration,1
Black,1
History,1
"Month,",1
are,37
reminded,1
Nation's,2
path,1
towards,1
civil,2
rights,4
work,9
that,59
still,1
remains,1
to,144
be,27
done.,1
Recent,1
threats,1
targeting,1
Jewish,2
community,1
centers,1
vandalism,1
"cemeteries,",1
well,1
last,6
week's,1
shooting,1
in,72
Kansas,1
"City,",1
remind,1
us,17
while,3
may,1
a,92
nation,4
divided,1
on,26
"policies,",1
country,11
stands,1
united,2
condemning,1
hate,1
evil,1
all,30
its,9
ugly,1
forms.,1
Each,1
American,32
generation,1
passes,1
torch,2
"truth,",1
"liberty,",1
justice,1
an,16
unbroken,1
"chain,",1
way,4
down,9
present.,1
That,2
is,58
now,9
"hands,",1
will,56
use,2
it,10
light,1
up,5
world.,8
I,38
am,12
here,2
tonight,7
deliver,2
message,2
unity,1
"strength,",1
deeply,1
delivered,2
from,22
my,7
heart.,1
A,2
new,18
chapter,2
greatness,2
beginning.,1
national,6
pride,1
sweeping,1
across,10
Nation.,3
And,19
surge,1
optimism,1
placing,1
impossible,1
dreams,4
firmly,1
within,1
grasp.,1
What,3
witnessing,1
today,2
renewal,2
spirit.,2
Our,8
allies,4
find,5
America,20
once,2
again,1
ready,2
lead.,1
All,1
nations,3
world—friend,1
or,7
foe—will,1
"strong,",1
"proud,",1
free.,2
In,6
9,1
"years,",2
States,7
celebrate,3
250th,4
anniversary,1
founding:,1
250,2
years,4
since,7
day,2
declared,1
independence.,1
It,6
one,13
great,13
milestones,1
history,2
But,14
what,4
look,4
like,5
reach,1
year?,1
kind,2
leave,3
for,54
children?,1
not,26
allow,4
mistakes,2
recent,1
decades,2
past,4
define,1
course,1
future.,2
For,3
too,6
"long,",2
we've,4
watched,1
middle,3
class,1
shrink,1
exported,1
jobs,4
wealth,1
foreign,6
countries.,1
We've,4
financed,1
built,1
global,1
project,1
after,1
"another,",1
but,10
ignored,2
fates,1
children,6
inner,2
cities,3
"Chicago,",2
"Baltimore,",1
"Detroit,",1
so,15
many,12
other,8
places,2
throughout,4
land.,2
defended,1
borders,2
"nations,",2
leaving,1
own,4
wide,1
open,1
anyone,1
cross,1
drugs,3
pour,1
at,15
unprecedented,1
rate.,2
spent,2
trillions,2
dollars,4
"overseas,",1
infrastructure,5
home,6
has,13
badly,2
crumbled.,1
"Then,",1
"2016,",1
Earth,1
shifted,1
beneath,1
feet.,1
The,12
rebellion,1
started,1
quiet,2
"protest,",1
spoken,1
by,25
families,3
colors,1
"creeds,",1
who,18
just,13
wanted,2
fair,5
shot,2
their,17
hearing,1
concerns.,1
then,4
voices,1
became,2
loud,1
"chorus,",1
thousands,3
spoke,2
out,7
"together,",1
small,2
"large,",1
country.,7
"Finally,",3
chorus,1
"earthquake,",1
people,10
turned,1
tens,3
"millions,",1
they,23
were,6
"simple,",1
crucial,1
demand:,1
must,19
put,2
first.,1
Because,1
only,5
can,11
truly,3
make,6
again.,1
Dying,1
industries,1
come,4
roaring,1
back,3
life.,2
Heroic,1
veterans,2
get,6
care,3
desperately,1
need.,2
military,4
given,2
resources,3
brave,3
warriors,1
richly,1
deserve.,1
Crumbling,1
replaced,1
with,31
"roads,",1
"bridges,",1
"tunnels,",1
"airports,",1
railways,1
gleaming,1
"very,",2
beautiful,1
terrible,2
drug,3
epidemic,1
slow,2
"and,",2
"ultimately,",1
stop.,1
neglected,1
see,2
rebirth,1
"hope,",1
"safety,",1
opportunity.,1
Above,1
"else,",1
keep,6
promises,2
people.,3
[Applause],2
you.,7
It's,4
been,9
little,1
over,3
month,1
"Inauguration,",1
want,8
take,4
this,22
moment,1
update,1
Nation,5
progress,1
I've,3
made,6
keeping,1
those,11
promises.,1
Since,1
"election,",1
"Ford,",1
Fiat,1
"Chrysler,",1
General,2
"Motors,",1
"Sprint,",1
"Softbank,",1
"Lockheed,",1
"Intel,",1
"Walmart,",1
others,1
have,49
announced,1
invest,2
billions,6
create,7
jobs.,4
stock,1
market,1
gained,1
almost,2
$3,1
trillion,3
value,1
election,1
November,1
8—a,1
record.,2
saved,3
taxpayers,2
hundreds,1
millions,4
bringing,1
price,3
fantastic—and,1
fantastic—new,1
F-35,1
jet,1
"fighter,",1
we'll,1
saving,1
more,10
contracts,1
Government.,2
We,35
placed,1
hiring,1
freeze,1
nonmilitary,1
nonessential,1
Federal,1
workers.,1
begun,1
drain,1
swamp,1
government,1
corruption,1
imposing,2
5-year,1
ban,2
lobbying,1
executive,1
branch,1
officials,2
lifetime,2
ban—[applause]—thank,1
becoming,1
lobbyists,1
government.,1
undertaken,1
historic,3
effort,2
massively,1
reduce,2
job-crushing,1
"regulations,",1
creating,2
deregulation,1
Task,2
Force,2
inside,2
every,8
Government,3
agency.,1
we're,1
rule,2
which,2
mandates,1
"regulation,",1
two,4
old,2
regulations,2
eliminated.,1
We're,1
going,5
stop,3
threaten,2
future,2
livelihood,1
coal,1
miners.,1
cleared,1
construction,2
Keystone,1
Dakota,1
Access,1
"pipelines,",1
thereby,1
issued,1
directive,1
pipelines,1
steel.,1
withdrawn,1
job-killing,1
Trans-Pacific,1
Partnership.,1
help,7
Prime,1
Minister,1
Justin,1
"Trudeau,",1
formed,1
council,1
neighbors,1
Canada,1
ensure,3
women,5
entrepreneurs,1
access,3
"networks,",1
"markets,",1
capital,1
need,4
start,1
business,3
live,2
financial,3
dreams.,1
To,6
protect,4
"citizens,",2
directed,2
Department,5
Justice,2
form,2
Reducing,1
Violent,1
Crime.,1
further,2
ordered,2
Departments,1
Homeland,2
Security,2
"Justice,",2
along,2
State,5
Director,1
National,2
"Intelligence,",1
coordinate,1
aggressive,1
strategy,1
dismantle,1
criminal,2
cartels,1
spread,1
pouring,2
into,5
poisoning,1
"youth,",2
expand,2
treatment,1
become,4
addicted.,1
At,4
same,6
"time,",3
administration,4
answered,1
pleas,1
immigration,5
enforcement,1
border,1
security.,1
By,1
finally,2
enforcing,1
"laws,",2
raise,2
"wages,",2
"unemployed,",1
save,4
"dollars,",2
communities,2
safer,1
everyone.,1
Americans,11
"succeed,",1
can't,1
happen,1
environment,1
lawless,2
chaos.,1
restore,2
integrity,1
law,3
borders.,1
"reason,",1
soon,1
begin,2
"great,",2
wall,1
southern,1
border.,1
As,4
speak,1
"tonight,",2
removing,1
gang,2
"members,",1
"dealers,",1
criminals,1
prey,1
innocent,1
citizens.,1
Bad,1
ones,3
"speak,",1
promised,1
campaign.,1
any,2
Congress,7
do,9
believe,5
should,12
enforce,2
would,3
ask,1
question:,1
say,1
family,4
loses,1
"jobs,",1
"income,",1
loved,3
because,4
refused,1
uphold,1
laws,1
defend,3
borders?,1
obligation,1
"serve,",1
"protect,",1
States.,2
also,7
taking,1
strong,2
measures,1
radical,1
Islamic,1
terrorism.,1
According,2
data,1
provided,1
vast,1
majority,1
individuals,2
convicted,1
terrorism,3
terrorism-related,1
offenses,1
9/11,1
came,2
outside,1
seen,3
attacks,2
"home,",1
Boston,1
San,1
Bernardino,1
"Pentagon,",1
"yes,",1
even,6
World,2
Trade,2
Center.,1
"France,",1
"Belgium,",1
"Germany,",1
"compassionate,",1
reckless,1
uncontrolled,1
entry,1
where,7
proper,1
vetting,2
cannot,3
occur.,1
Those,1
high,5
honor,2
admission,1
support,6
love,5
values.,1
beachhead,1
America.,3
sanctuary,1
extremists.,1
why,2
working,2
improved,1
"procedures,",1
shortly,1
steps,2
safe,4
harm.,1
"promised,",1
Defense,1
develop,2
plan,3
demolish,1
destroy,1
"ISIS,",1
network,1
savages,1
slaughtered,1
Muslims,1
"Christians,",1
men,5
faiths,1
beliefs.,1
"allies,",2
including,2
friends,4
Muslim,1
"world,",1
extinguish,1
vile,1
enemy,1
planet.,1
imposed,1
sanctions,1
entities,1
Iran's,1
ballistic,1
missile,1
program,2
reaffirmed,1
unbreakable,1
alliance,2
Israel.,1
kept,1
promise,1
appoint,1
Supreme,1
"Court,",1
list,1
20,2
"judges,",1
Constitution.,1
greatly,1
honored,1
Maureen,1
Scalia,1
gallery,3
tonight.,1
"you,",4
Maureen.,1
Her,1
"late,",1
"husband,",1
Antonin,1
"Scalia,",1
forever,1
symbol,1
justice.,2
fill,2
his,10
"seat,",1
chosen,1
Judge,1
Neil,1
"Gorsuch,",1
man,1
incredible,4
skill,1
deep,1
devotion,1
law.,1
He,2
was,15
confirmed,1
unanimously,1
Court,1
"Appeals,",1
asking,6
Senate,1
swiftly,1
approve,2
nomination.,1
outline,1
next,1
"country,",3
honestly,1
acknowledge,1
circumstances,1
inherited.,1
Ninety-four,1
million,3
labor,1
force.,1
Over,1
43,2
living,1
"poverty,",2
food,1
stamps.,1
More,1
than,8
1,1
5,1
prime,1
working.,1
worst,1
recovery,1
65,1
years.,1
8,1
debt,1
nearly,3
Presidents,1
combined.,1
lost,2
one-fourth,1
manufacturing,1
NAFTA,1
"approved,",1
"60,000",1
factories,1
China,1
joined,2
Organization,1
2001.,1
trade,1
deficit,1
goods,2
world,4
year,6
$800,1
billion,1
dollars.,1
overseas,1
inherited,1
series,1
tragic,1
policy,3
disasters.,1
Solving,1
these,3
pressing,1
problems,1
require,2
differences,1
party.,1
tap,1
spirit,1
overcome,1
challenge,1
long,5
storied,1
history.,2
accomplish,1
goals,1
"abroad,",1
restart,1
engine,1
"economy,",1
making,1
easier,1
companies,7
"much,",1
much,6
harder,1
Right,1
taxed,2
highest,1
rates,1
anywhere,2
My,5
economic,1
team,1
developing,1
tax,6
reform,2
rate,3
compete,1
thrive,1
anyone.,1
"big,",1
big,3
cut.,1
provide,4
massive,1
relief,1
class.,2
level,1
playing,1
field,1
workers—have,1
it.,1
"Currently,",1
when,7
ship,2
products,2
"America,",3
countries,2
pay,2
tariffs,1
taxes.,1
charge,1
them,6
"nothing,",1
nothing.,1
met,1
workers,4
"company,",1
Harley-Davidson.,1
"fact,",3
proudly,1
displayed,2
five,1
magnificent,1
"motorcycles,",1
"U.S.A.,",1
front,1
lawn,1
White,1
House.,1
[Laughter],4
me,2
ride,1
"one,",1
"said,",1
"""No,",1
thank,2
"you.""",1
"meeting,",1
asked,2
"them,",1
how,3
"doing,",1
business?,1
They,8
said,3
it's,5
good.,1
"further,",1
doing,1
"countries,",1
mainly,1
international,1
sales?,1
told,2
me—without,1
"complaining,",1
mistreated,1
they've,1
used,1
it—that,1
hard,1
such,1
case,1
another,1
motorcycles,1
100,1
percent.,1
weren't,1
change.,1
am.,1
strongly,2
free,3
"trade,",1
trade.,2
time,6
had,5
first,4
Republican,2
Abraham,1
"Lincoln,",1
warned,1
"""abandonment",1
protective,1
produce,1
ruin,1
among,1
"people.""",1
Lincoln,1
"right,",1
heeded,1
advice,1
words.,1
let,1
taken,2
advantage,2
longer.,2
No,1
bring,4
Protecting,1
means,1
reforming,1
system,5
legal,2
immigration.,1
"current,",1
outdated,1
depresses,1
wages,2
poorest,2
puts,1
pressure,1
taxpayers.,1
Nations,1
around,1
"Canada,",1
"Australia,",1
"others,",1
merit-based,2
system.,1
basic,1
principle,1
seeking,1
enter,1
ought,1
able,4
themselves,1
financially.,1
"Yet,",1
"rule,",1
straining,1
public,2
rely,1
upon.,1
Academy,1
"Sciences,",1
current,2
costs,3
year.,2
Switching,1
away,1
lower,3
skilled,1
"immigration,",1
instead,1
adopting,1
"system,",1
benefits.,1
countless,1
workers',1
struggling,1
families—including,1
immigrant,3
families—enter,1
"quickly,",1
"happy,",1
indeed.,1
real,1
positive,1
"possible,",1
focus,1
following,1
goals:,1
improve,1
"Americans,",1
strengthen,1
"security,",1
respect,4
laws.,1
If,3
guided,3
wellbeing,1
Republicans,3
Democrats,3
together,2
achieve,3
outcome,1
eluded,1
decades.,1
Another,1
Dwight,1
D.,1
"Eisenhower,",1
initiated,1
program—the,1
building,1
Interstate,1
Highway,1
System.,1
rebuilding.,2
approximately,1
$6,2
Middle,2
East;,1
"while,",1
crumbling.,1
With,1
"trillion,",1
could,3
rebuilt,1
"twice,",1
maybe,1
three,1
times,1
if,2
ability,1
negotiate.,1
launch,1
"rebuilding,",1
legislation,1
produces,1
$1,1
investment,1
States—financed,1
through,3
both,4
private,2
capital—creating,1
This,5
core,1
principles:,1
buy,2
hire,1
American.,1
Tonight,1
calling,3
repeal,1
replace,1
Obamacare,5
reforms,2
"choice,",2
increase,3
"access,",1
"costs,",1
better,5
health,8
care.,2
Mandating,1
Government-approved,1
insurance,4
never,5
right,4
solution,2
available,1
everyone,2
cost,1
"insurance,",1
do.,1
premiums,1
nationwide,1
increased,1
double,1
triple,1
digits.,1
"example,",1
Arizona,1
went,1
116,1
percent,1
alone.,1
Governor,1
Matt,1
Bevin,1
Kentucky,1
failing,1
State—the,1
Kentucky—and,1
unsustainable,1
collapsing.,1
One-third,1
counties,1
"insurer,",1
losing,2
fast.,2
"leaving,",1
no,5
choice,3
all.,2
There's,1
left.,1
Remember,1
your,4
doctor,1
plan?,1
know,6
totally,1
broken.,1
"collapsing,",1
act,2
decisively,1
Americans.,2
Action,1
necessity.,1
So,2
imploding,1
disaster.,1
Here,1
principles,1
guide,1
move,1
Americans:,1
"First,",1
preexisting,1
conditions,2
"coverage,",1
stable,1
transition,1
currently,1
enrolled,1
exchanges.,1
"Secondly,",1
purchase,2
coverage,1
credits,1
expanded,1
savings,1
"accounts,",1
"want,",1
forced,1
"Thirdly,",1
give,3
Governors,1
flexibility,1
Medicaid,1
sure,1
left,1
out.,1
"Fourth,",1
implement,1
patients,1
doctors,1
unnecessary,1
drive,2
artificially,1
immediately.,1
"finally,",1
freedom,1
"lines,",1
competitive,1
marketplace,1
far,3
important.,1
Everything,1
broken,1
fixed.,1
Every,2
problem,1
solved.,1
hurting,1
healing,1
hope.,2
deserve,1
"more,",2
join,2
forces,1
job,3
"done,",1
done,1
right?,1
On,3
"things,",1
unite,1
good,3
wants,1
members,3
parties,2
childcare,1
accessible,1
affordable;,1
parents,1
paid,1
leave;,1
women's,1
health;,1
promote,1
clean,2
air,1
water;,1
rebuild,1
infrastructure.,1
True,1
requires,1
common,2
"ground,",1
advance,1
"good,",1
cooperate,1
behalf,1
child,2
deserves,1
brighter,1
An,2
young,3
woman,1
"evening,",1
serve,2
inspiration,1
Today,2
Rare,1
Disease,1
"Day,",1
joining,1
rare,2
disease,1
"survivor,",1
Megan,2
Crowley.,1
diagnosed,1
Pompe,1
"disease,",1
serious,1
"illness,",1
she,5
15,1
months,1
old.,1
She,1
expected,1
5.,1
receiving,1
"news,",1
Megan's,4
dad,1
John,1
fought,2
everything,1
he,6
life,3
precious,1
child.,2
founded,1
company,1
cure,1
helped,1
sophomore,1
Notre,1
Dame.,1
story,1
about,2
unbounded,1
power,1
father's,1
daughter.,1
burdensome,1
approval,1
process,2
Food,1
Drug,1
Administration,1
keeps,1
"advances,",1
"life,",1
reaching,1
slash,1
"restraints,",1
"FDA,",1
"Government,",1
blessed,2
miracles,1
Megan.,1
grow,3
miracles.,1
"future,",4
enrich,1
mind,1
souls,1
Education,1
issue,1
time.,2
upon,1
pass,1
education,1
bill,1
funds,1
school,3
disadvantaged,1
African,1
Latino,1
children.,1
These,2
choose,1
"public,",1
"private,",1
"charter,",1
"magnet,",1
"religious,",1
them.,3
Joining,2
remarkable,1
"woman,",1
Denisha,2
Merriweather.,1
"girl,",1
struggled,1
failed,2
third,1
grade,1
twice.,1
"then,",1
enroll,1
center,1
learning—great,1
learning,1
center—with,1
credit,1
scholarship,1
program.,1
"Today,",1
her,3
"graduate,",1
"school,",2
college.,1
Later,1
master's,1
degree,1
social,1
work.,1
break,3
cycle,3
poverty,1
Denisha.,1
violence.,1
murder,2
2015,1
experienced,1
largest,2
single-year,1
half,1
century.,1
"4,000",1
"alone,",1
higher.,1
acceptable,1
society.,1
"community,",1
attend,1
high-paying,1
job.,1
"with,",1
against—not,1
against—the,1
enforcement.,2
build,1
bridges,1
cooperation,1
"trust,",1
wedge,1
"disunity,",1
"really,",1
is—division.,1
"pure,",1
unadulterated,1
division.,1
unify.,1
Police,1
sheriffs,1
community.,2
They're,1
"neighbors,",1
they're,1
mothers,2
"fathers,",1
sons,1
"daughters,",1
behind,2
worry,1
whether,1
they'll,1
sound.,1
victims,1
crime.,1
office,2
victims.,1
called,1
VOICE:,1
Victims,1
Immigration,1
Crime,1
Engagement.,1
providing,1
voice,1
media,1
silenced,1
special,1
interests.,1
audience,2
four,1
whose,1
Their,2
names,1
Jamiel,2
"Shaw,",2
Susan,3
"Oliver,",2
Jenna,1
Jessica,2
Davis.,2
Jamiel's,1
17-year-old,1
son,1
viciously,2
murdered,1
illegal,2
member,1
released,1
prison.,1
Jr.,1
"man,",1
unlimited,1
"potential,",1
getting,1
go,1
college,2
excelled,1
quarterback.,1
got,1
chance.,1
His,1
"father,",1
friend,2
mine.,1
"Jamiel,",2
Also,1
Oliver,2
"husbands,",1
Deputy,1
Sheriff,1
Danny,1
Detective,1
Michael,1
"Davis,",1
slain,1
line,1
duty,1
California.,1
pillars,1
gunned,1
record,1
prior,1
deportations.,1
Should,1
Sitting,1
"daughter,",1
Jenna.,1
"Jenna,",2
father,1
"hero,",2
entire,1
supporting,1
praying,1
"Susan,",1
Jessica:,1
fighting,1
Your,1
"never,",1
ever,2
forgotten.,1
always,2
memory.,1
"safe,",1
tools,1
prevent,1
war.,1
"must,",1
fight,2
win.,1
sending,1
budget,2
rebuilds,1
"military,",1
eliminates,1
defense,2
"sequester,",1
calls,2
increases,1
spending,1
funding,1
veterans.,1
"Nation,",1
challenges,1
face,1
greater.,1
none,1
greater,3
braver,1
uniform.,2
Carryn,1
"Owens,",1
widow,1
U.S.,1
Navy,1
Special,1
"Operator,",1
Senior,1
Chief,1
William,1
"""Ryan""",1
Owens.,1
Ryan,3
died,1
lived:,1
warrior,1
battling,1
against,2
securing,1
"Mattis,",1
"now,",2
reconfirmed,1
that—and,2
"quote—""Ryan",1
part,1
highly,1
successful,1
raid,1
generated,1
large,1
amounts,1
vital,2
intelligence,1
lead,1
victories,1
"enemy.""",1
Ryan's,1
legacy,1
etched,1
eternity.,1
looking,1
"down,",1
now—you,1
happy,1
think,1
broke,1
Bible,1
teaches,1
"us,",1
there,3
lay,1
one's,2
friends.,1
laid,1
"friends,",1
freedom.,1
forget,1
Ryan.,1
wonder,1
"be,",1
heroes,1
wear,1
"direct,",1
"robust,",1
meaningful,2
engagement,1
leadership,1
based,2
security,1
interests,2
share,3
globe.,1
"NATO,",2
forged,1
bonds,1
wars,1
dethroned,1
"fascism,",1
cold,1
"war,",1
defeated,1
communism.,1
partners,1
meet,1
obligations.,1
frank,1
"discussions,",1
beginning,1
that.,2
tell,1
money,1
in.,1
Very,1
nice.,1
expect,1
partners—whether,1
"East,",1
Pacific—to,1
direct,1
role,1
strategic,1
"operations,",1
cost.,1
Have,1
"institutions,",1
also.,1
Free,1
best,1
vehicle,1
expressing,1
"people,",1
respects,1
chart,1
path.,1
represent,2
off,2
less,1
"conflict,",1
more.,1
learn,2
past.,1
war,2
destruction,1
ravaged,1
raged,1
world—all,1
long-term,1
humanitarian,1
"disasters,",1
"cases,",1
displaced,1
persons,1
safely,1
return,1
willing,1
forge,1
partnerships,1
shared,1
align.,1
harmony,1
"stability,",1
conflict.,1
"peace,",2
wherever,1
peace,1
found.,1
former,1
enemies.,1
Some,1
closest,1
"ago,",1
opposite,1
side,1
"terrible,",1
wars.,1
faith,1
possibilities,1
"Hopefully,",1
"peaceful,",1
"just,",1
100th,1
"anniversary,",1
"1876,",1
Philadelphia,1
America's,2
centennial.,1
"celebration,",1
country's,1
builders,1
artists,1
inventors,1
showed,2
wonderful,1
creations.,1
Alexander,1
Graham,1
Bell,1
telephone,1
Remington,1
unveiled,1
typewriter.,1
early,1
attempt,1
electric,2
light.,1
Thomas,1
Edison,1
automatic,1
telegraph,1
pen.,1
Imagine,1
wonders,1
Think,1
marvels,1
simply,1
set,1
Cures,1
illnesses,1
plagued,1
footprints,1
distant,1
worlds,1
dream.,1
Millions,1
lifted,1
welfare,1
expect.,1
streets,1
"fear,",1
schools,1
prosper,1
ask.,1
When,2
"this,",1
before—for,1
vision.,1
mission.,1
together.,1
destiny.,1
bleed,1
blood.,1
salute,1
flag.,1
God.,1
fulfill,1
"vision,",2
glorious,1
"freedom,",1
began.,1
thinking,1
over.,1
trivial,1
fights,1
us.,1
courage,1
"hearts,",1
bravery,1
express,1
hopes,2
stir,1
"souls,",1
confidence,1
turn,1
action.,1
From,1
"on,",1
empowered,1
"aspirations,",1
burdened,1
fears;,1
inspired,1
bound,1
failures,1
past;,1
blinded,1
doubts.,1
embrace,1
dreaming,1
"bold,",1
daring,1
things,1
watching,1
seize,1
moment.,1
Believe,1
"yourselves,",1
"believe,",1
God,2
bless,2
